Date,600000.SS,600005.SS,600009.SS,600010.SS,600011.SS,600015.SS,600016.SS,600019.SS,600022.SS,600028.SS,600029.SS,600030.SS,600031.SS,600036.SS,600037.SS,600048.SS,600050.SS,600058.SS,600062.SS,600066.SS,600068.SS,600085.SS,600089.SS,600096.SS,600100.SS,600104.SS,600108.SS,600109.SS,600111.SS,600115.SS,600118.SS,600123.SS,600125.SS,600132.SS,600143.SS,600150.SS,600153.SS,600160.SS,600166.SS,600169.SS,600170.SS,600177.SS,600183.SS,600188.SS,600196.SS,600208.SS,600216.SS,600219.SS,600221.SS,600252.SS,600256.SS,600259.SS,600266.SS,600267.SS,600271.SS,600276.SS,600307.SS,600309.SS,600315.SS,600316.SS,600320.SS,600331.SS,600348.SS,600352.SS,600362.SS,600369.SS,600372.SS,600376.SS,600383.SS,600395.SS,600406.SS,600415.SS,600418.SS,600432.SS,600456.SS,600489.SS,600497.SS,600498.SS,600500.SS,600508.SS,600516.SS,600518.SS,600519.SS,600528.SS,600535.SS,600546.SS,600547.SS,600549.SS,600550.SS,600583.SS,600585.SS,600588.SS,600595.SS,600598.SS,600600.SS,600642.SS,600649.SS,600655.SS,600660.SS,600664.SS,600674.SS,600690.SS,600694.SS,600703.SS,600718.SS,600739.SS,600741.SS,600770.SS,600779.SS,600783.SS,600795.SS,600804.SS,600809.SS,600811.SS,600812.SS,600827.SS,600832.SS,600837.SS,600839.SS,600859.SS,600863.SS,600873.SS,600875.SS,600881.SS,600887.SS,600893.SS,600895.SS,600900.SS,600970.SS,600971.SS,600997.SS,600999.SS,601001.SS,601006.SS,601009.SS,601018.SS,601088.SS,601098.SS,601099.SS,601101.SS,601106.SS,601111.SS,601117.SS,601118.SS,601158.SS,601166.SS,601168.SS,601169.SS,601179.SS,601186.SS,601216.SS,601233.SS,601258.SS,601268.SS,601718.SS,601766.SS,601788.SS,601808.SS,601818.SS,601857.SS,601866.SS,601888.SS,601898.SS,601899.SS,601901.SS,601918.SS,601919.SS,601928.SS,601933.SS,601939.SS,601958.SS,601988.SS,601989.SS,601991.SS,601992.SS,601998.SS,000001.SZ,000002.SZ,000009.SZ,000012.SZ,000021.SZ,000024.SZ,000039.SZ,000046.SZ,000059.SZ,000060.SZ,000061.SZ,000063.SZ,000069.SZ,000100.SZ,000157.SZ,000338.SZ,000401.SZ,000402.SZ,000422.SZ,000423.SZ,000425.SZ,000527.SZ,000528.SZ,000538.SZ,000559.SZ,000562.SZ,000568.SZ,000581.SZ,000623.SZ,000625.SZ,000629.SZ,000630.SZ,000651.SZ,000680.SZ,000686.SZ,000703.SZ,000709.SZ,000718.SZ,000725.SZ,000728.SZ,000729.SZ,000758.SZ,000768.SZ,000776.SZ,000778.SZ,000780.SZ,000783.SZ,000792.SZ,000800.SZ,000807.SZ,000825.SZ,000839.SZ,000858.SZ,000869.SZ,000876.SZ,000878.SZ,000895.SZ,000898.SZ,000933.SZ,000937.SZ,000960.SZ,000961.SZ,000968.SZ,000969.SZ,000983.SZ,000999.SZ,002001.SZ,002007.SZ,002024.SZ,002038.SZ,002069.SZ,002073.SZ,002081.SZ,002092.SZ,002106.SZ,002122.SZ,002128.SZ,002142.SZ,002146.SZ,002155.SZ,002202.SZ,002241.SZ,002299.SZ,002304.SZ,002310.SZ,002344.SZ,002353.SZ,002378.SZ,002385.SZ,002399.SZ,002405.SZ,002415.SZ,002422.SZ,002431.SZ,002493.SZ,002500.SZ,002570.SZ,002594.SZ,002603.SZ
2012-01-04,54.0,13.84,31.02,11.12,19.06,19.02,76.03,8.95,14.2,11.09,6.87,44.69,470.96,39.19,38.19,90.98,8.24,90.18,71.69,195.68,39.13,116.82,235.63,27.89,148.7,84.72,49.3,38.38,231.36,4.93,213.61,116.37,143.62,28.45,122.39,65.19,62.41,70.31,65.39,36.26,16.67,108.24,32.74,47.81,89.14,20.56,56.59,13.97,6.53,110.43,267.21,39.28,31.59,31.77,149.24,303.25,13.67,292.26,103.44,66.53,50.07,72.96,101.74,44.66,28.43,18.37,32.37,39.84,55.45,47.24,356.57,135.81,30.5,57.72,43.55,116.07,113.27,41.86,33.42,46.59,37.23,214.88,898.15,18.78,131.04,84.6,287.56,202.53,73.92,96.06,49.1,211.73,36.08,16.13,40.18,20.64,22.52,1169.34,316.13,50.09,47.68,121.89,157.53,83.31,116.93,344.35,294.82,204.84,117.9,99.79,604.82,42.14,93.0,76.75,23.12,74.16,56.54,144.62,44.21,92.39,52.45,41.05,58.84,287.05,401.28,41.41,107.73,13.69,88.55,68.86,35.66,13.63,25.44,8.9,13.13,2.41,26.52,8.82,6.61,38.49,3.12,6.58,5.26,6.61,6.17,25.47,9.78,9.86,3.62,4.1,17.55,23.56,14.55,6.9,3.35,4.28,11.45,15.14,2.98,10.95,2.42,25.69,9.08,6.11,4.0,11.53,5.06,8.36,30.05,5.24,14.19,3.54,8.14,11.47,8.14,4.41,794.62,765.15,54.05,149.15,68.95,75.55,240.31,132.85,11.31,248.35,135.93,206.34,183.3,4.66,381.26,100.65,53.31,158.91,176.69,385.41,164.18,435.52,77.36,499.05,92.46,45.37,788.68,75.83,235.32,23.77,19.03,103.13,855.62,30.18,84.23,68.39,23.57,25.29,7.88,12.65,55.51,116.54,65.23,51.56,39.51,55.31,15.61,139.38,21.41,27.35,23.76,54.87,443.66,284.8,124.21,42.7,266.3,6.01,93.47,69.45,52.16,17.02,25.28,97.75,78.58,29.15,162.94,278.25,696.16,225.62,145.34,138.88,178.1,22.31,50.32,51.72,29.08,9.71,35.39,27.87,38.26,142.1,30.03,248.34,247.83,43.3,140.4,22.41,32.08,51.48,23.79,85.36,83.86,73.94,34.4,6.29,23.2,22.43,37.26
2012-01-05,55.44,13.76,31.11,11.0,18.77,19.37,77.38,8.92,14.3,11.17,6.81,43.59,469.81,39.99,37.15,88.78,8.1,86.47,64.85,194.23,37.18,111.04,232.48,25.83,143.23,86.03,45.94,38.02,219.26,4.89,202.06,114.25,136.16,28.45,12.4,63.66,62.23,66.08,63.54,34.76,8.44,106.15,32.58,46.71,88.25,20.2,55.32,13.89,6.46,108.95,259.07,37.69,30.61,111.4,140.19,288.01,13.16,283.89,98.75,66.89,49.1,70.56,99.79,45.1,28.0,18.49,31.51,38.87,55.56,45.47,353.8,125.58,5.72,56.53,41.46,113.17,111.48,39.77,33.14,46.05,36.35,207.43,888.29,18.44,127.26,83.72,289.46,190.52,72.11,97.25,48.02,206.95,34.45,15.12,39.26,20.64,22.21,1145.54,314.39,49.07,46.86,121.24,148.82,83.31,110.53,342.37,298.81,191.04,118.47,98.32,585.02,40.68,88.76,73.99,21.87,72.65,55.18,143.88,43.94,89.09,51.61,38.91,56.5,280.98,393.2,39.45,103.96,13.6,88.28,67.01,34.56,13.83,25.2,9.0,13.63,2.39,26.21,8.63,6.62,38.03,3.04,6.52,5.0,6.27,6.01,25.93,9.53,9.95,3.59,4.06,17.37,23.62,13.9,6.38,3.29,4.26,11.27,15.41,3.01,11.0,2.41,24.27,9.06,6.06,3.94,11.21,4.86,8.22,29.88,5.32,13.74,3.59,7.8,11.35,7.74,4.55,807.14,757.22,51.06,142.69,67.14,76.21,238.5,130.87,10.98,244.45,129.43,205.17,175.27,4.78,369.3,100.17,53.22,159.14,171.92,371.28,161.54,438.6,76.29,487.35,92.46,44.55,786.67,70.8,232.14,24.06,18.81,100.88,866.2,28.77,81.7,71.76,23.24,24.22,7.74,12.5,54.28,110.44,65.65,50.94,39.04,54.27,15.35,137.15,21.59,26.87,23.33,53.04,443.94,279.66,119.03,41.75,264.3,5.88,90.8,68.41,50.83,16.95,24.26,92.67,76.83,29.01,155.83,275.88,689.68,216.92,140.48,131.14,163.16,21.8,47.36,52.6,28.55,9.93,32.89,27.58,37.27,134.54,28.45,248.98,244.32,41.4,135.22,20.87,29.06,48.5,22.07,81.1,80.92,68.72,35.4,6.16,21.96,21.53,35.4
2012-01-06,55.8,13.95,31.39,11.56,18.96,19.43,78.12,9.0,14.3,11.25,6.84,44.0,469.81,40.26,37.41,87.99,8.19,87.63,62.09,191.1,37.35,112.58,237.83,25.48,153.0,84.94,43.94,39.38,223.44,4.97,195.93,114.05,127.1,28.45,115.58,64.31,62.14,67.99,63.97,35.44,16.63,106.78,33.21,47.53,86.57,19.65,54.91,14.15,6.53,110.74,261.3,39.45,30.51,107.67,140.19,283.28,13.45,283.06,100.28,64.51,49.1,71.6,102.84,45.83,28.46,18.83,32.68,38.99,54.82,46.19,356.23,127.14,30.14,57.85,42.37,114.23,113.7,39.11,33.42,46.68,37.46,214.44,904.52,18.25,126.89,84.96,292.86,193.95,73.92,98.1,47.42,204.1,35.65,15.07,39.27,20.77,22.52,1144.14,315.09,49.64,47.08,122.03,145.74,83.16,111.92,355.91,293.29,189.67,118.36,98.81,593.82,40.22,86.68,75.45,21.39,74.22,55.6,147.96,44.48,87.08,51.55,39.31,56.65,285.03,399.87,40.35,105.43,13.57,86.55,68.21,34.84,13.98,11.77,9.13,13.67,2.39,26.19,8.79,6.83,38.56,3.09,6.53,5.24,6.19,6.05,26.1,9.7,10.07,3.64,4.08,16.47,24.06,14.1,6.27,3.33,4.28,11.53,15.68,2.99,11.16,2.42,23.71,9.19,6.09,4.05,11.28,4.88,8.56,29.56,5.4,13.89,2.96,7.66,11.53,8.02,4.61,804.96,748.3,54.11,143.77,68.16,75.09,241.13,130.87,11.16,247.15,127.22,200.14,175.52,4.81,368.82,101.96,53.69,154.5,176.27,375.32,159.5,438.6,77.05,498.67,94.91,45.33,793.31,70.36,237.31,24.46,19.27,104.81,854.7,29.17,83.32,32.11,23.51,24.47,7.79,12.74,54.69,112.22,61.36,51.77,39.46,55.25,16.0,137.75,21.33,27.35,23.44,54.08,445.74,285.66,118.65,42.39,266.26,5.92,92.61,69.61,52.66,16.68,23.91,92.97,77.93,29.71,153.86,273.62,688.87,206.52,139.1,129.52,160.23,22.46,49.15,53.56,28.98,9.95,33.77,28.36,37.86,132.62,28.65,252.82,238.2,41.4,128.4,21.46,27.51,48.18,22.45,82.7,76.62,66.93,37.1,6.29,21.95,21.88,34.68
2012-01-09,57.24,14.19,31.5,11.88,19.27,19.91,79.97,9.07,14.5,11.59,7.13,45.46,488.56,41.55,38.58,92.03,8.37,92.23,64.52,196.41,38.57,116.9,246.97,26.37,170.0,88.94,45.21,40.82,240.02,5.18,200.88,122.13,133.46,28.45,121.26,66.7,63.87,71.59,66.26,37.69,17.42,109.16,33.91,51.07,89.14,20.63,56.57,14.67,6.77,115.49,276.66,41.84,31.29,106.46,144.18,292.21,13.89,291.63,101.32,65.88,51.73,75.04,112.59,47.36,29.85,8.79,33.18,40.37,56.72,50.33,359.33,133.91,31.59,60.64,45.86,120.09,120.35,41.27,34.61,49.46,41.04,228.02,910.9,18.91,128.19,92.42,304.56,205.62,77.16,100.81,49.91,208.09,37.88,15.46,40.06,21.13,22.93,1181.95,323.44,51.49,48.6,125.71,148.36,90.26,115.82,371.72,301.88,198.14,119.55,102.29,609.21,41.84,88.07,79.18,22.79,76.39,57.6,153.9,46.4,89.24,52.33,42.53,58.89,297.17,409.36,41.72,111.91,13.69,90.22,74.42,37.38,14.28,27.3,9.25,13.57,2.45,27.93,9.17,7.07,42.28,3.19,6.73,5.52,6.55,6.23,26.64,10.16,10.31,3.79,4.19,16.77,25.1,14.63,6.53,3.43,4.4,11.87,16.19,3.03,11.23,2.49,24.51,9.8,6.29,4.2,11.99,5.03,8.87,30.11,5.49,14.58,3.61,7.95,11.61,8.46,4.68,828.37,773.08,59.51,150.38,70.54,77.28,253.83,135.49,11.73,257.66,131.12,205.28,180.04,1.87,386.53,104.75,55.44,157.52,187.05,392.74,168.74,463.27,81.13,498.48,98.12,47.32,790.09,69.77,252.47,25.44,19.81,111.11,892.9,30.83,86.69,78.91,23.9,25.72,8.02,13.08,55.6,119.28,62.74,53.98,40.71,61.39,16.58,143.61,22.4,28.96,24.03,56.07,448.93,286.28,123.98,44.0,273.65,6.09,99.58,75.21,56.53,17.49,25.63,96.92,84.37,30.45,157.8,274.75,701.83,206.73,143.3,131.05,164.78,23.39,53.61,55.32,30.88,10.13,35.22,29.8,38.98,135.62,29.11,256.8,242.01,42.76,130.42,22.95,28.4,49.94,23.26,83.9,78.5,68.69,38.76,6.53,22.8,22.81,35.35
2012-01-10,57.96,14.61,32.25,12.02,19.4,20.07,80.58,9.23,14.77,11.64,7.65,46.95,517.65,42.15,39.66,93.61,8.67,96.83,67.7,201.64,40.36,120.48,257.99,27.82,174.1,90.94,47.94,42.1,248.43,5.52,206.42,125.92,139.33,104.63,125.7,69.07,65.88,74.58,70.5,38.92,18.03,112.99,34.72,54.35,92.3,21.17,59.34,15.17,7.15,120.23,292.02,42.94,32.01,111.44,154.53,295.89,14.46,307.1,102.19,70.12,53.0,81.68,123.32,49.47,31.35,19.49,33.94,41.58,57.87,54.09,366.95,147.09,32.46,64.21,47.4,127.67,129.99,42.45,35.8,51.9,43.02,230.43,940.99,20.33,132.68,95.82,318.26,218.16,81.19,102.34,53.03,213.1,41.74,16.39,41.07,21.23,23.42,1223.96,333.19,53.6,50.68,130.31,152.74,92.15,121.53,378.77,313.22,210.31,121.93,16.92,615.81,44.37,91.78,82.43,23.49,80.01,59.28,159.66,49.15,93.12,53.88,44.51,61.94,314.72,418.45,42.97,117.13,13.88,96.11,81.28,39.64,14.7,28.94,9.27,13.88,2.51,28.68,9.41,7.19,44.92,3.32,7.08,5.84,6.96,6.42,26.88,10.7,10.43,3.89,4.37,17.34,25.86,16.1,6.91,3.54,4.61,12.15,16.52,3.06,11.32,2.6,25.7,10.09,6.57,4.4,12.44,5.24,9.08,31.78,5.53,15.94,3.62,8.36,11.51,9.0,4.75,15.78,784.97,62.02,163.74,73.02,78.19,265.7,136.48,12.4,275.68,139.05,213.94,186.32,5.28,410.93,109.13,57.92,160.77,192.14,401.09,178.69,470.81,88.61,510.38,102.25,49.95,820.91,73.35,259.4,25.73,20.33,115.97,906.25,33.14,94.99,81.1,24.45,26.5,8.57,13.41,57.65,126.12,65.23,56.6,42.89,64.71,17.0,152.55,22.95,30.33,24.72,58.78,466.28,292.88,127.84,45.69,281.82,6.36,106.55,79.21,18.61,17.75,28.05,100.8,88.26,31.38,165.7,284.0,731.8,213.0,148.88,137.53,177.44,24.41,55.15,57.16,32.53,10.29,35.56,31.65,41.3,139.1,30.19,267.4,252.3,44.24,133.2,23.92,30.3,51.98,24.21,86.2,81.8,73.2,39.48,6.77,23.68,23.75,37.05
2012-01-11,57.54,14.61,31.9,12.6,19.14,19.85,79.84,9.19,14.8,11.53,7.56,46.79,510.76,41.92,39.79,93.26,8.64,97.75,66.18,204.4,40.3,120.48,257.67,27.65,174.1,90.08,47.94,41.46,262.18,5.5,205.24,124.27,137.43,104.74,125.99,68.33,64.79,73.99,70.28,38.38,17.96,112.8,34.72,53.65,92.0,20.69,59.52,15.09,7.05,118.55,291.5,43.97,31.81,113.67,155.11,295.37,14.68,307.93,102.61,70.88,52.31,80.32,125.72,49.03,31.09,19.07,34.59,40.69,57.35,54.02,370.26,145.35,32.36,63.29,47.34,127.87,129.82,42.29,35.8,51.13,45.68,228.46,918.66,20.53,132.18,94.1,317.56,219.5,80.24,100.64,52.4,221.87,40.79,16.36,41.02,20.9,23.32,1218.35,330.75,53.73,49.86,128.21,31.07,92.55,125.15,374.82,310.77,209.49,120.69,110.65,604.82,45.29,92.81,81.62,23.27,80.19,59.28,158.17,48.6,93.53,54.34,41.51,61.48,309.32,419.06,42.75,117.13,13.85,98.11,88.84,39.4,14.7,28.44,9.19,13.6,2.51,28.41,9.43,7.09,44.9,3.31,7.07,5.82,6.92,6.4,26.6,10.64,10.35,3.92,4.35,17.14,25.6,16.15,6.9,3.5,4.61,12.02,16.21,3.03,11.24,2.62,26.05,10.05,6.63,4.31,12.29,5.19,9.01,32.35,5.52,15.66,3.61,8.44,11.45,8.78,4.69,15.78,778.03,68.22,166.81,73.7,77.82,263.23,134.83,12.4,274.48,140.48,214.06,184.31,5.28,417.15,109.67,56.97,159.84,190.27,403.75,177.61,461.22,87.99,501.55,103.01,49.63,826.95,72.7,259.05,25.61,20.35,114.48,876.33,32.82,92.53,81.81,24.67,26.01,8.39,13.27,57.98,128.31,65.05,55.91,42.79,66.37,16.84,152.55,22.77,29.9,24.78,59.02,460.73,292.98,128.31,45.26,286.96,6.43,106.27,78.29,59.04,18.18,27.83,101.76,87.27,30.3,164.83,279.38,725.32,209.65,150.26,138.25,178.3,24.17,54.53,6.97,32.02,10.2,35.31,31.57,40.68,139.22,30.07,266.0,250.65,44.96,135.4,23.81,29.85,51.92,24.39,86.16,81.74,73.84,39.0,6.68,23.74,24.35,38.0
2012-01-12,58.08,14.53,31.76,12.56,19.09,20.01,80.58,9.2,14.5,11.48,7.5,46.59,514.21,42.35,39.4,93.97,8.37,98.22,66.65,204.47,40.41,120.48,258.3,28.23,176.06,91.16,47.41,41.1,267.28,5.42,204.89,123.39,137.43,95.57,126.27,68.38,65.52,75.37,70.71,38.51,18.16,113.99,34.49,52.99,91.51,21.17,59.5,15.17,7.03,116.65,291.23,47.24,32.06,110.73,154.17,291.9,14.52,309.19,99.65,71.69,52.61,81.68,124.36,49.18,31.2,19.15,34.37,41.1,58.51,53.54,364.96,146.22,32.91,64.25,48.58,130.7,131.45,42.05,35.48,50.85,45.01,231.3,921.78,20.27,130.73,93.7,319.86,226.14,81.11,98.61,52.79,214.47,6.15,16.21,40.5,20.9,23.28,1215.55,329.36,53.73,51.38,127.81,144.74,91.84,122.22,373.13,316.9,204.84,121.0,107.3,600.42,44.91,90.07,81.13,23.82,78.86,58.86,158.17,47.78,90.36,54.47,8.06,60.9,307.97,416.83,43.93,117.55,13.9,97.84,87.24,39.06,14.67,28.3,9.19,13.68,2.5,28.41,9.29,7.04,44.51,3.29,7.02,5.79,6.84,6.53,27.2,10.66,10.45,3.88,4.36,16.72,26.1,16.28,6.89,3.48,4.63,11.95,15.87,3.04,11.26,2.61,25.57,10.04,6.62,4.26,12.04,5.25,8.8,31.86,5.52,15.8,3.61,8.44,11.25,8.79,4.75,15.78,783.98,67.52,166.66,73.14,77.65,262.41,134.17,12.52,279.28,138.27,215.58,185.56,5.18,414.28,108.14,57.28,160.77,192.14,398.71,177.13,460.19,88.49,507.4,102.09,49.16,819.7,72.94,255.29,24.98,19.89,115.35,857.92,33.07,91.69,81.1,24.5,26.06,8.34,13.23,58.8,129.82,64.8,55.5,42.47,65.02,16.61,152.92,22.67,30.28,24.51,58.94,462.95,285.76,126.76,45.74,279.19,6.46,104.36,77.73,59.86,17.69,27.59,102.06,86.07,29.94,165.7,277.01,720.46,192.12,149.84,133.12,179.51,24.23,55.76,56.44,31.8,10.24,35.93,32.0,40.68,142.7,29.81,262.0,248.91,44.58,135.18,24.27,29.8,51.62,24.69,84.1,81.3,72.82,38.94,6.62,23.64,24.4,37.59
2012-01-13,57.78,14.34,31.55,12.37,19.01,19.73,80.58,9.12,14.33,11.43,7.26,45.66,502.73,41.92,37.97,93.0,8.12,100.77,64.18,200.98,38.69,115.43,249.49,27.31,168.44,87.74,45.42,40.3,276.49,5.29,193.22,122.45,132.03,95.83,123.24,66.75,64.15,74.16,68.65,36.33,17.67,112.9,33.67,51.95,88.84,20.87,57.48,14.75,6.84,111.17,281.12,51.96,30.56,103.48,152.28,285.9,14.14,299.15,96.1,69.23,51.14,80.16,126.18,47.94,30.71,19.33,33.71,40.12,57.24,52.06,353.25,138.94,32.36,62.56,47.02,130.3,130.59,40.68,34.73,49.82,43.47,222.98,914.06,19.87,127.88,89.46,313.16,229.7,78.43,98.1,50.51,207.29,39.59,16.04,40.11,20.74,22.8,1169.34,325.18,51.75,49.86,122.55,136.38,88.52,117.35,364.94,308.01,197.87,119.76,105.04,598.22,43.29,87.13,78.69,22.13,75.67,57.39,155.57,47.5,87.08,53.69,8.06,58.86,296.5,411.18,41.32,113.79,13.8,94.33,84.53,37.96,14.54,27.48,9.19,13.36,2.45,28.25,8.8,6.79,43.47,3.2,6.91,5.64,6.6,6.23,27.16,10.33,10.41,3.79,4.0,15.53,25.24,15.45,6.44,3.38,4.58,11.64,15.85,3.03,11.4,2.57,25.03,9.81,6.48,4.08,11.73,5.04,8.16,31.75,5.52,15.51,3.61,8.36,10.99,8.51,4.7,15.78,778.03,67.73,159.75,70.76,76.41,255.48,131.53,12.06,273.28,133.59,208.68,182.55,5.13,408.54,105.58,54.55,158.22,189.02,392.74,170.78,443.4,85.34,495.12,98.58,47.91,805.6,68.94,246.71,24.58,19.44,113.92,17.55,31.63,87.68,78.2,24.06,24.76,8.11,13.07,55.23,138.65,62.31,54.6,41.33,63.05,16.03,149.21,21.99,29.67,23.97,56.63,455.46,287.71,121.74,45.33,267.0,6.27,103.02,76.53,60.46,17.53,26.6,97.7,84.07,28.34,162.15,265.16,699.4,193.19,145.16,129.97,173.39,23.3,52.84,54.6,30.86,10.1,35.47,31.59,39.65,138.2,28.53,261.0,233.49,43.96,132.8,24.1,29.37,49.34,23.45,81.52,76.52,68.43,37.46,6.35,22.1,23.87,36.69
2012-01-16,57.36,14.26,31.55,11.51,18.7,19.6,79.97,9.2,14.13,11.32,7.08,45.78,508.08,41.59,36.84,89.92,8.1,90.18,61.24,196.84,37.13,109.25,248.23,26.53,9.46,86.03,44.57,39.34,252.67,5.26,181.9,118.84,130.28,86.7,117.94,65.61,62.6,70.41,68.76,34.76,17.62,109.79,33.21,50.81,87.46,20.81,56.33,14.57,6.73,107.16,276.14,47.47,30.14,99.71,149.39,277.49,14.18,292.26,94.22,66.29,50.07,77.2,118.96,46.48,29.7,18.27,33.51,38.1,56.29,50.22,318.46,134.25,31.91,60.28,44.02,127.87,122.83,39.27,34.33,49.11,40.81,211.16,861.6,5.14,122.18,85.91,300.06,212.46,11.23,96.57,49.1,201.83,6.01,15.65,39.3,20.51,22.31,1144.14,323.79,50.28,49.16,120.84,125.3,83.87,114.7,363.53,310.16,189.26,117.28,102.41,2.73,40.07,82.19,76.58,21.24,71.99,56.44,154.27,46.13,82.04,53.17,8.06,57.31,293.12,386.74,40.17,112.12,13.81,92.06,81.18,39.21,14.29,27.02,9.1,13.34,2.44,27.94,8.6,6.6,42.66,3.15,6.8,5.46,6.58,6.08,27.24,9.95,10.36,3.72,4.22,14.79,24.6,15.03,6.25,3.31,4.52,11.54,15.69,3.0,11.29,2.52,23.69,9.7,6.33,3.97,11.6,4.94,7.81,30.21,4.77,14.84,3.6,8.2,10.91,7.84,4.72,15.78,769.11,62.34,154.98,68.84,75.83,256.96,128.23,12.0,262.47,125.39,204.58,178.03,5.08,421.46,105.58,54.23,156.13,179.17,373.85,169.94,441.35,83.84,472.09,93.99,47.21,769.75,67.78,243.89,24.75,18.87,110.05,17.55,30.36,87.75,78.4,23.95,24.13,7.97,13.05,53.54,125.03,59.91,54.99,41.07,61.33,15.82,139.97,21.35,28.63,23.81,54.95,431.03,277.33,118.11,44.08,260.71,6.14,101.3,75.61,56.5,17.19,25.68,92.49,83.77,26.48,159.38,253.88,676.72,184.42,135.5,128.26,164.28,23.06,47.83,53.48,30.62,10.07,8.33,29.59,38.39,128.9,27.25,249.6,210.21,41.6,129.4,22.4,29.09,47.14,21.83,80.26,71.52,64.11,18.33,6.21,22.1,23.55,35.0
2012-01-17,58.74,14.8,32.34,12.51,19.4,20.16,81.93,9.35,14.63,11.58,7.52,48.53,535.26,42.88,38.66,93.61,8.34,100.31,64.8,203.38,39.91,115.27,261.14,28.27,179.96,91.39,47.31,41.78,277.9,5.56,188.98,127.24,137.43,89.83,124.28,69.12,65.61,76.03,72.56,37.28,18.52,113.17,34.53,54.73,91.8,21.66,59.21,15.89,7.1,112.54,291.23,52.22,31.14,102.35,156.55,277.7,3.85,310.86,95.65,70.08,52.12,84.08,130.34,49.25,32.46,19.27,34.37,39.23,58.19,54.76,325.31,143.44,33.68,66.04,48.02,140.39,134.77,39.57,35.88,52.65,44.84,224.95,875.69,20.99,122.34,93.0,329.56,233.12,82.38,101.32,52.55,209.8,44.74,16.3,40.59,20.97,23.28,1219.76,338.06,53.09,51.46,128.6,133.16,89.15,121.25,386.39,325.49,202.79,120.17,108.94,609.21,43.14,85.1,82.59,22.9,77.42,58.96,163.74,48.87,84.33,55.64,8.06,60.79,310.67,404.11,42.22,119.02,14.11,100.38,88.64,41.9,14.96,28.84,9.28,13.78,2.54,29.3,9.05,7.02,46.77,3.34,7.1,5.95,7.23,6.37,27.85,10.88,10.62,3.9,4.42,15.63,26.3,16.1,6.72,3.47,4.84,12.04,16.45,3.07,11.52,2.76,24.82,10.31,6.93,4.27,12.34,5.38,8.39,32.12,5.6,16.22,3.65,8.94,11.47,8.47,4.86,15.78,789.92,68.59,168.81,72.46,78.19,271.97,133.51,12.74,287.99,133.85,212.77,185.31,5.33,449.69,110.12,57.6,160.77,191.62,381.74,180.49,464.3,90.37,492.34,100.72,50.26,806.81,71.89,263.51,26.01,20.49,121.15,17.55,32.71,95.97,82.39,24.72,25.53,8.39,13.66,55.18,137.28,63.59,58.9,43.2,68.09,16.86,150.92,22.52,30.99,24.94,59.1,443.52,283.3,123.9,48.25,263.78,6.58,109.71,81.85,62.4,17.95,27.95,99.49,89.81,27.96,166.97,262.34,712.36,190.55,141.44,133.12,176.43,24.65,51.64,56.44,32.71,10.39,37.05,32.49,40.45,131.24,28.53,255.12,215.1,43.7,132.6,24.6,29.85,49.7,23.07,81.7,74.7,67.12,39.42,6.62,22.85,25.3,35.7
2012-01-18,57.78,14.61,32.25,12.46,18.93,19.91,80.95,9.24,14.33,11.38,7.4,48.37,532.19,42.02,38.1,91.59,8.2,98.59,63.23,201.64,39.47,112.5,257.99,28.4,165.5,90.71,47.41,41.26,279.56,5.45,181.2,124.68,132.66,84.75,120.31,68.47,68.44,74.96,71.8,36.81,18.19,112.35,34.22,53.25,90.42,21.9,57.81,15.71,7.02,101.36,283.22,57.4,30.71,97.48,149.82,263.41,14.71,308.14,92.1,67.82,50.27,82.0,128.13,47.57,32.68,19.39,33.86,38.26,58.19,55.9,302.56,138.41,32.86,65.4,47.88,140.32,134.52,38.65,35.32,51.41,45.01,213.57,861.46,21.03,114.07,90.66,327.06,236.54,79.06,99.96,53.72,207.07,43.19,16.04,40.09,20.74,23.04,1195.95,333.53,51.88,51.03,125.84,129.68,86.47,118.88,377.64,326.72,198.55,117.85,105.22,609.21,41.45,83.48,80.8,22.13,75.67,58.02,162.25,48.05,81.68,54.6,37.38,61.25,309.99,389.36,41.51,117.76,14.02,101.24,84.93,40.74,14.88,28.06,9.23,13.41,2.51,28.8,8.77,6.95,45.39,3.47,7.01,5.89,7.49,6.28,27.48,10.68,10.42,3.83,4.38,15.35,26.26,15.75,6.92,3.45,4.73,11.92,16.03,3.02,11.42,2.67,24.11,9.99,6.83,4.42,12.0,5.66,8.2,28.92,5.57,16.12,3.61,8.78,11.17,8.63,4.78,15.78,782.99,69.28,166.51,72.46,75.5,266.03,129.88,12.55,282.28,128.52,205.17,183.05,5.21,449.69,109.19,58.05,159.61,188.82,366.51,176.77,458.82,90.94,458.75,98.42,50.14,773.17,69.57,259.87,25.55,20.6,121.96,865.28,32.78,95.83,80.69,24.5,25.14,8.3,13.53,54.08,137.41,63.68,59.45,42.42,66.43,16.84,154.22,22.09,31.89,24.51,57.74,427.84,269.57,121.97,47.33,252.4,6.49,114.2,80.01,64.99,17.17,27.15,97.75,87.56,26.65,163.57,254.45,694.54,185.92,133.1,125.65,170.35,24.38,49.95,56.04,32.0,10.25,36.6,32.81,39.78,124.76,27.41,239.8,205.74,43.24,119.48,24.35,27.41,48.28,22.23,73.64,73.08,64.82,37.84,6.65,21.23,24.67,32.13
